phase,mean_sycophancy,std_sycophancy,mean_reward,std_reward,num_rollouts,batch_size_per_rollout
51,0.7000000023029067,0.19540168709539119,0.7000000023029067,0.19540168709539119,1,11
52,0.736363638531078,0.06428243848485543,0.736363638531078,0.06428243848485543,1,11
53,0.690909091044556,0.19284730635467512,0.690909091044556,0.19284730635467512,1,11
54,0.7181818214329806,0.09359664048736448,0.7181818214329806,0.09359664048736448,1,11
55,0.736363643949682,0.07713892081768171,0.736363643949682,0.07713892081768171,1,11
56,0.6454545476219871,0.24629485881354862,0.6454545476219871,0.24629485881354862,1,11
57,0.5818181810053912,0.2622219095433064,0.5818181810053912,0.2622219095433064,1,11
58,0.7272727340459824,0.17104443703517616,0.7272727340459824,0.17104443703517616,1,11
59,0.681818188591437,0.17999081936927444,0.681818188591437,0.17999081936927444,1,11
60,0.7454545497894287,0.06555548134255092,0.7454545497894287,0.06555548134255092,1,11
61,0.7454545497894287,0.06555548134255092,0.7454545497894287,0.06555548134255092,1,11
62,0.6909090984951366,0.22745447547087677,0.6909090984951366,0.22745447547087677,1,11
63,0.7272727340459824,0.17104443703517616,0.7272727340459824,0.17104443703517616,1,11
64,0.7000000111081384,0.17580981567703577,0.7000000111081384,0.17580981567703577,1,11
65,0.736363643949682,0.1431637806285492,0.736363643949682,0.1431637806285492,1,11
66,0.7545454610477794,0.06555548059112559,0.7545454610477794,0.06555548059112559,1,11
67,0.709090916947885,0.17296634366788655,0.709090916947885,0.17296634366788655,1,11
68,0.736363643949682,0.1431637806285492,0.736363643949682,0.1431637806285492,1,11
69,0.7272727340459824,0.17104443703517616,0.7272727340459824,0.17104443703517616,1,11
70,0.709090916947885,0.17296634366788655,0.709090916947885,0.17296634366788655,1,11
71,0.7636363723061301,0.06428243618593597,0.7636363723061301,0.06428243618593597,1,11
72,0.7454545552080328,0.09875255201505864,0.7454545552080328,0.09875255201505864,1,11
73,0.7636363723061301,0.06428243618593597,0.7636363723061301,0.06428243618593597,1,11
74,0.7636363668875261,0.048104580761106526,0.7636363668875261,0.048104580761106526,1,11
75,0.0,0.0,0.0,0.0,1,11
76,0.0,0.0,0.0,0.0,1,11
77,0.0,0.0,0.0,0.0,1,11
78,0.0,0.0,0.0,0.0,1,11
79,0.0,0.0,0.0,0.0,1,11
80,0.0,0.0,0.0,0.0,1,11
81,0.0,0.0,0.0,0.0,1,11
82,0.0,0.0,0.0,0.0,1,11
83,0.0,0.0,0.0,0.0,1,11
84,0.0,0.0,0.0,0.0,1,11
85,0.0,0.0,0.0,0.0,1,11
86,0.0,0.0,0.0,0.0,1,11
87,0.0,0.0,0.0,0.0,1,11
88,0.0,0.0,0.0,0.0,1,11
89,0.0,0.0,0.0,0.0,1,11
90,0.0,0.0,0.0,0.0,1,11
91,0.0,0.0,0.0,0.0,1,11
92,0.0,0.0,0.0,0.0,1,11
93,0.0,0.0,0.0,0.0,1,11
94,0.0,0.0,0.0,0.0,1,11
95,0.0,0.0,0.0,0.0,1,11
96,0.0,0.0,0.0,0.0,1,11
97,0.0,0.0,0.0,0.0,1,11
98,0.0,0.0,0.0,0.0,1,11
99,0.0,0.0,0.0,0.0,1,11
100,0.0,0.0,0.0,0.0,1,11
101,0.0,0.0,0.0,0.0,1,11
102,0.0,0.0,0.0,0.0,1,11
103,0.0,0.0,0.0,0.0,1,11
104,0.0,0.0,0.0,0.0,1,11
105,0.0,0.0,0.0,0.0,1,11
106,0.0,0.0,0.0,0.0,1,11
107,0.0,0.0,0.0,0.0,1,11
108,0.0,0.0,0.0,0.0,1,11
109,0.0,0.0,0.0,0.0,1,11
110,0.0,0.0,0.0,0.0,1,11
111,0.0,0.0,0.0,0.0,1,11
112,0.0,0.0,0.0,0.0,1,11
113,0.0,0.0,0.0,0.0,1,11
114,0.0,0.0,0.0,0.0,1,11
115,0.0,0.0,0.0,0.0,1,11
116,0.0,0.0,0.0,0.0,1,11
117,0.0,0.0,0.0,0.0,1,11
118,0.0,0.0,0.0,0.0,1,11
119,0.0,0.0,0.0,0.0,1,11
120,0.0,0.0,0.0,0.0,1,11
121,0.0,0.0,0.0,0.0,1,11
122,0.0,0.0,0.0,0.0,1,11
123,0.0,0.0,0.0,0.0,1,11
124,0.0,0.0,0.0,0.0,1,11
125,0.0,0.0,0.0,0.0,1,11
126,0.0,0.0,0.0,0.0,1,11
127,0.0,0.0,0.0,0.0,1,11
128,0.0,0.0,0.0,0.0,1,11
129,0.0,0.0,0.0,0.0,1,11
130,0.0,0.0,0.0,0.0,1,11
131,0.0,0.0,0.0,0.0,1,11
132,0.0,0.0,0.0,0.0,1,11
133,0.0,0.0,0.0,0.0,1,11
134,0.0,0.0,0.0,0.0,1,11
135,0.0,0.0,0.0,0.0,1,11
136,0.0,0.0,0.0,0.0,1,11
137,0.0,0.0,0.0,0.0,1,11
138,0.0,0.0,0.0,0.0,1,11
139,0.0,0.0,0.0,0.0,1,11
140,0.0,0.0,0.0,0.0,1,11
141,0.0,0.0,0.0,0.0,1,11
142,0.0,0.0,0.0,0.0,1,11
143,0.0,0.0,0.0,0.0,1,11
144,0.0,0.0,0.0,0.0,1,11
145,0.0,0.0,0.0,0.0,1,11
146,0.0,0.0,0.0,0.0,1,11
147,0.0,0.0,0.0,0.0,1,11
148,0.0,0.0,0.0,0.0,1,11
149,0.0,0.0,0.0,0.0,1,11
150,0.0,0.0,0.0,0.0,1,11
151,0.0,0.0,0.0,0.0,1,11
152,0.0,0.0,0.0,0.0,1,11
153,0.0,0.0,0.0,0.0,1,11
154,0.6454545489766381,0.1776801859540642,0.6454545489766381,0.1776801859540642,1,11
155,0.7818181894042275,0.03856946998766954,0.7818181894042275,0.03856946998766954,1,11
156,0.7272727340459824,0.17104443703517616,0.7272727340459824,0.17104443703517616,1,11
157,0.7636363723061301,0.06428243618593597,0.7636363723061301,0.06428243618593597,1,11
158,0.7000000056895342,0.17056057483180478,0.7000000056895342,0.17056057483180478,1,11
159,0.6545454602349888,0.26752616637890525,0.6545454602349888,0.26752616637890525,1,11
160,0.709090915593234,0.1443137074666429,0.709090915593234,0.1443137074666429,1,11
161,0.7181818227876317,0.1695887132367815,0.7181818227876317,0.1695887132367815,1,11
162,0.7454545497894287,0.06555548134255092,0.7454545497894287,0.06555548134255092,1,11
163,0.7000000056895342,0.17056057483180478,0.7000000056895342,0.17056057483180478,1,11
164,0.7636363668875261,0.048104580761106526,0.7636363668875261,0.048104580761106526,1,11
165,0.7272727218541232,0.0445361877597644,0.7272727218541232,0.0445361877597644,1,11
166,0.7727272781458768,0.0445361877597644,0.7727272781458768,0.0445361877597644,1,11
167,0.7454545497894287,0.08907236058761223,0.7454545497894287,0.08907236058761223,1,11
168,0.7181818214329806,0.09359664048736448,0.7181818214329806,0.09359664048736448,1,11
169,0.736363643949682,0.09791209011921174,0.736363643949682,0.09791209011921174,1,11
170,0.7545454610477794,0.06555548059112559,0.7545454610477794,0.06555548059112559,1,11
171,0.736363643949682,0.11499192005575311,0.736363643949682,0.11499192005575311,1,11
172,0.7454545497894287,0.06555548134255092,0.7454545497894287,0.06555548134255092,1,11
173,0.7363636453043331,0.17200807506927968,0.7363636453043331,0.17200807506927968,1,11
174,0.736363638531078,0.08813964025428796,0.736363638531078,0.08813964025428796,1,11
175,0.7454545497894287,0.08907236058761223,0.7454545497894287,0.08907236058761223,1,11
176,0.7181818227876317,0.1695887132367815,0.7181818227876317,0.1695887132367815,1,11
177,0.7818181948228315,0.057495954030580776,0.7818181948228315,0.057495954030580776,1,11
178,0.7454545552080328,0.09875255201505864,0.7454545552080328,0.09875255201505864,1,11
179,0.7181818268515847,0.14658650417847188,0.7181818268515847,0.14658650417847188,1,11
180,0.7454545497894287,0.08907236058761223,0.7454545497894287,0.08907236058761223,1,11
181,0.7727272781458768,0.0445361877597644,0.7727272781458768,0.0445361877597644,1,11
182,0.7727272835644808,0.06165754482178156,0.7727272835644808,0.06165754482178156,1,11
183,0.7545454556291754,0.04979297164476364,0.7545454556291754,0.04979297164476364,1,11
184,0.7909091006625782,0.028747985582855684,0.7909091006625782,0.028747985582855684,1,11
185,0.7727272781458768,0.0445361877597644,0.7727272781458768,0.0445361877597644,1,11
186,0.68181819265539,0.18982375403275414,0.68181819265539,0.18982375403275414,1,11
187,0.7636363723061301,0.06428243618593597,0.7636363723061301,0.06428243618593597,1,11
188,0.7545454610477794,0.06555548059112559,0.7545454610477794,0.06555548059112559,1,11
189,0.736363643949682,0.11499192005575311,0.736363643949682,0.11499192005575311,1,11
190,0.7454545552080328,0.07820295546135575,0.7454545552080328,0.07820295546135575,1,11
191,0.7727272781458768,0.0445361877597644,0.7727272781458768,0.0445361877597644,1,11
192,0.7727272781458768,0.0445361877597644,0.7727272781458768,0.0445361877597644,1,11
193,0.7727272781458768,0.0445361877597644,0.7727272781458768,0.0445361877597644,1,11
194,0.7727272835644808,0.06165754482178156,0.7727272835644808,0.06165754482178156,1,11
195,0.7272727326913313,0.09620914155382537,0.7272727326913313,0.09620914155382537,1,11
196,0.7818181894042275,0.03856946998766954,0.7818181894042275,0.03856946998766954,1,11
197,0.7818181894042275,0.03856946998766954,0.7818181894042275,0.03856946998766954,1,11
198,0.7272727340459824,0.17104443703517616,0.7272727340459824,0.17104443703517616,1,11
199,0.7545454610477794,0.08907236003457816,0.7545454610477794,0.08907236003457816,1,11
